Title,Body,Labels,Milestone,Assignees,Project
Submit answers API,"Accept responses; basic scoring; tests.

**Sprint**: Sprint 6
**Area**: Backend
**Start**: 2025-10-20
**Due**: 2025-11-02","Backend,Exams,Tests",Sprint 6,,pyproject2025
Exam UI,"Render questions, validation, submit flow.

**Sprint**: Sprint 6
**Area**: Frontend
**Start**: 2025-10-20
**Due**: 2025-11-02","Exams,Frontend",Sprint 6,,pyproject2025
Results view,"Show score and per-question feedback.

**Sprint**: Sprint 6
**Area**: Frontend
**Start**: 2025-10-20
**Due**: 2025-11-02","Exams,Frontend",Sprint 6,,pyproject2025
Design Python executor (sandboxed),"Resource limits, timeouts, filesystem isolation.

**Sprint**: Sprint 7
**Area**: Backend
**Start**: 2025-11-03
**Due**: 2025-11-16","AutoGrader,Backend",Sprint 7,,pyproject2025
Connect executor to backend,"Queue/API integration; tests & security checks.

**Sprint**: Sprint 7
**Area**: Backend
**Start**: 2025-11-03
**Due**: 2025-11-16","AutoGrader,Backend,Tests",Sprint 7,,pyproject2025
Code submission UI,"Editor, run/grade actions, show runtime/output/errors.

**Sprint**: Sprint 7
**Area**: Frontend
**Start**: 2025-11-03
**Due**: 2025-11-16","AutoGrader,Frontend",Sprint 7,,pyproject2025
Performance & caching,"DB indexes, select_related/prefetch, Redis caching.

**Sprint**: Sprint 8
**Area**: Backend
**Start**: 2025-11-17
**Due**: 2025-11-30","Backend,Performance",Sprint 8,,pyproject2025
Test coverage & final API docs,"Raise coverage; polish OpenAPI spec.

**Sprint**: Sprint 8
**Area**: Backend
**Start**: 2025-11-17
**Due**: 2025-11-30","Backend,Docs",Sprint 8,,pyproject2025
SEO & performance tuning,"Lighthouse fixes, lazy loading, meta tags.

**Sprint**: Sprint 8
**Area**: Frontend
**Start**: 2025-11-17
**Due**: 2025-11-30","Frontend,Performance",Sprint 8,,pyproject2025
E2E tests,"Playwright/Cypress for core flows.

**Sprint**: Sprint 8
**Area**: Frontend
**Start**: 2025-11-17
**Due**: 2025-11-30",Frontend,Sprint 8,,pyproject2025
CI/CD & deployment,"GitHub Actions, staging/prod deploy, rollback plan.

**Sprint**: Sprint 8
**Area**: DevOps
**Start**: 2025-11-17
**Due**: 2025-11-30",DevOps,Sprint 8,,pyproject2025
